accelX,accelY,accelZ,gyroX,gyroY,gyroZ,NA
7.07,-9.03,-2.02,2.94,2.17,2.02,
6.22,-8.39,-1.34,2.99,1.95,2.21,
5.72,-7.94,-0.74,2.95,1.65,2.35,
5.09,-7.50,-0.13,2.82,1.32,2.43,
4.82,-7.18,0.52,2.61,0.99,2.46,
4.87,-7.07,0.81,2.36,0.72,2.47,
4.90,-7.98,-0.19,2.17,0.56,2.45,
4.58,-8.27,1.28,2.04,0.40,2.39,
4.97,-8.09,1.26,1.96,0.28,2.41,
5.28,-8.75,1.32,1.95,0.24,2.43,
5.05,-9.04,1.67,1.94,0.22,2.43,
4.91,-8.84,2.13,1.91,0.17,2.49,
4.58,-8.81,2.48,1.82,0.03,2.60,
4.07,-8.74,2.97,1.63,-0.21,2.78,
3.62,-8.44,3.23,1.33,-0.55,2.99,
3.37,-8.49,3.45,1.00,-0.95,3.22,
3.42,-8.77,3.42,0.59,-1.36,3.46,
3.44,-8.94,3.53,0.15,-1.66,3.63,
3.54,-9.17,3.42,-0.26,-1.87,3.69,
3.78,-10.21,2.67,-0.58,-1.89,3.66,
3.59,-11.00,2.26,-0.82,-1.79,3.56,
3.19,-11.27,1.87,-0.98,-1.68,3.40,
3.06,-11.56,1.31,-1.06,-1.53,3.26,
3.24,-12.18,0.50,-1.01,-1.39,3.18,
3.06,-12.78,0.13,-0.89,-1.27,3.14,
2.81,-12.39,0.32,-0.78,-1.17,3.10,
2.22,-11.80,0.58,-0.70,-1.12,3.05,
2.44,-11.73,0.93,-0.66,-1.16,3.04,
2.24,-11.66,0.52,-0.76,-1.17,3.19,
1.74,-10.91,1.00,-0.94,-1.21,3.36,
1.20,-10.50,1.55,-1.14,-1.32,3.45,
0.50,-10.37,1.61,-1.38,-1.43,3.50,
-0.14,-10.09,1.68,-1.64,-1.53,3.53,
-0.61,-9.63,1.52,-1.87,-1.63,3.53,
-1.06,-10.17,1.31,-2.11,-1.72,3.56,
-1.61,-10.04,0.49,-2.33,-1.70,3.53,
-1.97,-10.24,0.46,-2.43,-1.70,3.39,
-2.66,-10.42,0.13,-2.45,-1.65,3.14,
-3.33,-10.15,0.04,-2.46,-1.59,2.79,
-4.07,-10.19,-0.55,-2.47,-1.49,2.36,
-4.52,-10.43,-1.16,-2.44,-1.34,1.83,
-4.60,-10.77,-1.48,-2.31,-1.15,1.23,
-4.58,-11.13,-1.92,-2.07,-0.95,0.64,
-4.41,-11.09,-2.16,-1.76,-0.76,0.13,
-4.06,-10.89,-2.28,-1.47,-0.56,-0.32,
-3.71,-10.50,-2.20,-1.25,-0.42,-0.65,
-3.61,-9.93,-1.70,-1.12,-0.35,-0.91,
-3.48,-9.30,-1.35,-1.12,-0.36,-1.04,
-3.17,-8.86,-1.09,-1.22,-0.46,-1.07,
-2.79,-8.67,-1.24,-1.41,-0.58,-1.01,
-2.39,-8.50,-1.46,-1.65,-0.69,-0.88,
-2.38,-8.41,-1.46,-1.94,-0.79,-0.73,
-2.55,-8.37,-1.35,-2.23,-0.93,-0.57,
-2.76,-8.39,-1.56,-2.49,-1.09,-0.41,
-2.88,-8.31,-2.09,-2.73,-1.19,-0.31,
-3.14,-8.29,-2.41,-2.94,-1.24,-0.31,
-3.46,-8.14,-2.57,-3.11,-1.26,-0.46,
-3.83,-7.87,-2.79,-3.25,-1.26,-0.69,
-4.04,-7.66,-2.86,-3.33,-1.23,-0.96,
-3.91,-7.61,-3.21,-3.36,-1.13,-1.27,
-3.65,-7.53,-3.65,-3.33,-0.95,-1.64,
-3.60,-7.28,-3.79,-3.26,-0.75,-2.12,
-3.60,-6.83,-3.94,-3.17,-0.58,-2.61,
-3.07,-6.54,-4.13,-3.06,-0.43,-3.02,
-2.40,-6.69,-4.71,-2.90,-0.29,-3.34,
-1.36,-6.74,-4.76,-2.75,-0.15,-3.58,
-0.22,-6.40,-4.87,-2.63,-0.00,-3.70,
0.93,-6.20,-4.70,-2.59,0.14,-3.70,
1.99,-6.32,-4.90,-2.62,0.27,-3.56,
2.58,-7.00,-5.28,-2.67,0.41,-3.31,
2.40,-7.51,-5.84,-2.67,0.52,-3.02,
2.34,-7.74,-5.91,-2.58,0.57,-2.78,
2.15,-8.03,-5.62,-2.43,0.58,-2.58,
1.62,-8.05,-5.17,-2.25,0.56,-2.37,
1.05,-7.68,-5.26,-2.03,0.49,-2.18,
0.76,-5.52,-5.16,-1.88,0.38,-2.22,
1.75,-7.08,-6.20,-1.85,0.45,-2.27,
1.42,-7.85,-6.00,-1.74,0.49,-2.17,
0.91,-6.92,-5.01,-1.62,0.63,-1.97,
2.00,-5.99,-4.63,-1.31,0.79,-1.80,
2.49,-6.71,-5.14,-1.05,0.99,-1.77,
2.70,-6.76,-5.94,-0.93,1.33,-1.86,
3.05,-6.48,-6.30,-0.80,1.76,-1.96,
3.05,-6.84,-6.28,-0.57,2.13,-2.10,
3.16,-7.01,-6.03,-0.33,2.43,-2.23,
3.18,-6.97,-6.02,-0.10,2.66,-2.27,
3.23,-7.02,-6.10,0.11,2.81,-2.24,
2.95,-7.08,-6.16,0.31,2.85,-2.16,
2.73,-7.00,-5.97,0.50,2.77,-2.03,
2.64,-6.85,-5.86,0.67,2.59,-1.83,
2.94,-6.74,-5.69,0.78,2.40,-1.55,
3.08,-6.63,-5.41,0.86,2.21,-1.22,
3.28,-6.65,-5.42,0.96,2.07,-0.93,
3.55,-6.56,-5.23,1.09,2.00,-0.74,
3.95,-6.71,-5.23,1.22,2.02,-0.67,
4.09,-6.50,-4.88,1.31,2.09,-0.67,
4.07,-6.00,-4.53,1.35,2.18,-0.69,
4.13,-5.93,-4.07,1.35,2.27,-0.70,
4.22,-5.99,-4.08,1.33,2.36,-0.70,
4.53,-6.55,-4.20,1.32,2.49,-0.70,
4.90,-7.11,-4.35,1.37,2.68,-0.70,
5.24,-7.69,-4.30,1.51,2.88,-0.70,
5.60,-8.12,-4.22,1.70,3.05,-0.65,
5.79,-8.23,-4.06,1.90,3.19,-0.54,
5.98,-8.03,-3.78,2.07,3.27,-0.35,
5.90,-7.97,-3.50,2.19,3.31,-0.12,
5.71,-7.85,-3.14,2.28,3.29,0.11,
5.60,-7.63,-2.85,2.33,3.22,0.35,
5.57,-7.61,-2.79,2.35,3.17,0.56,
5.73,-7.68,-2.80,2.38,3.17,0.69,
5.67,-8.16,-2.90,2.45,3.20,0.69,
5.32,-8.23,-2.64,2.54,3.21,0.61,
5.21,-8.05,-2.20,2.63,3.20,0.53,
5.00,-7.85,-1.68,2.68,3.14,0.47,
4.99,-7.65,-1.02,2.66,3.02,0.44,
5.55,-7.98,-0.65,2.59,2.85,0.50,
5.82,-8.58,-0.29,2.50,2.68,0.65,
6.03,-8.72,0.29,2.42,2.48,0.86,
6.25,-8.62,0.54,2.35,2.24,1.18,
6.38,-8.81,0.63,2.28,1.98,1.56,
6.35,-8.81,0.81,2.24,1.69,1.93,
6.29,-8.78,0.77,2.18,1.35,2.29,
6.17,-8.84,0.64,2.12,0.97,2.65,
5.99,-9.04,0.68,2.05,0.58,3.02,
5.94,-9.66,-0.28,2.03,0.20,3.39,
5.68,-9.80,0.88,2.03,-0.15,3.69,
6.29,-9.89,0.44,2.07,-0.37,3.95,
6.89,-10.61,0.36,2.14,-0.39,3.96,
6.98,-10.77,0.40,2.16,-0.26,3.72,
6.58,-10.49,0.36,2.15,-0.03,3.35,
5.37,-10.45,1.09,2.11,0.21,2.95,
4.40,-10.31,1.97,2.09,0.34,2.60,
3.58,-9.94,2.65,2.09,0.34,2.35,
3.48,-9.90,2.96,2.10,0.23,2.25,
3.91,-9.94,2.95,2.03,0.05,2.32,
4.42,-9.99,3.10,1.88,-0.15,2.55,
4.30,-9.99,3.71,1.65,-0.35,2.85,
3.93,-9.59,4.44,1.38,-0.58,3.16,
3.24,-9.37,5.00,1.07,-0.81,3.40,
2.64,-9.34,5.34,0.69,-1.02,3.55,
2.16,-9.40,5.36,0.32,-1.19,3.63,
1.81,-9.45,5.32,-0.01,-1.33,3.62,
1.59,-9.52,5.13,-0.36,-1.42,3.54,
1.08,-9.72,4.82,-0.70,-1.45,3.38,
0.47,-9.98,4.81,-1.00,-1.45,3.16,
-0.33,-10.01,4.71,-1.24,-1.49,2.94,
-1.17,-9.92,4.75,-1.45,-1.60,2.77,
-1.75,-9.79,4.40,-1.70,-1.74,2.62,
-1.95,-9.93,3.85,-1.92,-1.90,2.47,
-1.59,-10.27,3.11,-2.10,-2.01,2.28,
-1.12,-10.68,2.33,-2.21,-2.04,2.06,
-0.46,-11.16,1.73,-2.26,-1.97,1.81,
0.01,-11.53,1.41,-2.28,-1.75,1.65,
0.37,-11.90,1.04,-2.24,-1.46,1.46,
0.48,-12.31,0.68,-2.06,-1.17,1.26,
0.25,-12.60,0.44,-1.72,-0.90,1.09,
-0.13,-12.41,0.05,-1.53,-0.69,0.97,
-0.82,-11.92,0.07,-1.46,-0.58,0.85,
-1.65,-11.26,0.34,-1.48,-0.60,0.71,
-2.44,-10.85,0.67,-1.61,-0.75,0.59,
-2.99,-10.25,0.85,-1.83,-0.98,0.53,
-3.55,-9.53,1.18,-2.16,-1.24,0.47,
-3.83,-9.18,1.25,-2.52,-1.49,0.35,
-4.10,-8.96,1.07,-2.85,-1.65,0.18,
-4.11,-8.93,0.69,-3.12,-1.73,-0.05,
-3.97,-8.86,0.06,-3.31,-1.80,-0.30,
-3.47,-8.94,-0.54,-3.41,-1.77,-0.55,
-2.85,-9.22,-1.34,-3.39,-1.67,-0.83,
-2.14,-9.65,-1.95,-3.26,-1.41,-1.16,
-1.37,-9.74,-2.32,-3.04,-1.13,-1.52,
-0.84,-9.47,-2.49,-2.77,-0.84,-1.84,
-0.06,-9.29,-2.78,-2.52,-0.56,-2.06,
0.22,-9.43,-2.71,-2.34,-0.35,-2.15,
0.24,-9.14,-2.15,-2.24,-0.28,-2.12,
0.15,-8.32,-1.65,-2.22,-0.32,-1.97,
0.08,-7.75,-1.16,-2.33,-0.45,-1.79,
-0.23,-6.86,-0.64,-2.56,-0.65,-1.62,
-0.46,-6.14,-0.55,-2.90,-0.86,-1.46,
-0.70,-5.74,-0.54,-3.28,-1.00,-1.35,
-0.96,-5.45,-0.76,-3.62,-1.11,-1.31,
-1.22,-5.47,-1.11,-3.85,-1.19,-1.34,
-1.39,-5.50,-1.69,-4.00,-1.22,-1.45,
-1.34,-5.56,-2.29,-4.08,-1.21,-1.61,
-1.44,-5.96,-2.95,-4.04,-1.18,-1.75,
-1.16,-6.25,-3.64,-3.84,-1.10,-1.86,
-0.67,-6.32,-4.08,-3.56,-1.02,-1.96,
0.20,-6.37,-4.46,-3.30,-0.90,-2.10,
1.16,-6.34,-4.75,-3.14,-0.68,-2.22,
2.00,-6.34,-4.82,-3.02,-0.38,-2.30,
2.78,-6.22,-4.68,-2.95,-0.03,-2.35,
3.01,-6.13,-4.77,-2.92,0.34,-2.37,
2.83,-6.15,-4.74,-2.89,0.67,-2.41,
2.35,-6.00,-4.84,-2.82,0.94,-2.43,
2.03,-6.23,-5.18,-2.65,1.14,-2.41,
1.86,-6.77,-5.52,-2.42,1.28,-2.38,
1.77,-7.11,-5.99,-2.14,1.39,-2.36,
1.63,-7.10,-5.83,-1.83,1.43,-2.34,
1.57,-6.69,-5.85,-1.57,1.44,-2.31,
1.56,-6.32,-6.00,-1.39,1.40,-2.21,
1.44,-5.99,-5.79,-1.29,1.33,-2.08,
1.41,-5.72,-5.85,-1.24,1.20,-1.92,
1.44,-5.68,-5.91,-1.18,1.06,-1.76,
1.83,-5.81,-6.22,-1.08,0.93,-1.59,
2.17,-6.13,-6.43,-0.90,0.87,-1.42,
2.73,-6.65,-6.84,-0.65,0.84,-1.29,
3.38,-7.09,-7.29,-0.37,0.87,-1.16,
4.13,-7.43,-7.65,-0.09,0.96,-1.00,
4.52,-8.16,-7.84,0.23,1.09,-0.81,
4.71,-8.24,-7.96,0.58,1.26,-0.64,
4.68,-7.98,-7.98,0.93,1.44,-0.56,
4.53,-7.19,-7.67,1.21,1.58,-0.56,
4.44,-6.56,-7.49,1.39,1.74,-0.61,
4.53,-6.15,-7.00,1.47,1.89,-0.66,
4.60,-6.05,-6.35,1.49,2.01,-0.66,
5.08,-6.05,-5.90,1.50,2.17,-0.59,
5.72,-6.52,-5.83,1.55,2.46,-0.50,
6.02,-6.99,-5.59,1.70,2.83,-0.50,
6.13,-7.38,-5.61,1.93,3.18,-0.54,
6.20,-7.59,-5.66,2.18,3.52,-0.58,
6.47,-7.51,-5.41,2.41,3.82,-0.55,
6.45,-7.69,-5.01,2.60,4.07,-0.42,
6.28,-7.78,-4.51,2.75,4.23,-0.26,
5.91,-7.45,-3.90,2.86,4.25,-0.05,
5.44,-6.96,-3.44,2.92,4.15,0.19,
5.23,-6.64,-3.15,2.89,3.95,0.46,
5.05,-6.45,-2.64,2.79,3.70,0.69,
5.30,-6.49,-2.52,2.67,3.44,0.87,
5.48,-6.90,-2.22,2.55,3.20,0.99,
6.10,-7.38,-2.23,2.44,3.04,1.05,
6.48,-8.04,-2.39,2.41,3.04,1.07,
6.89,-8.59,-2.03,2.49,3.12,1.04,
7.41,-8.96,-1.79,2.65,3.24,0.99,
7.61,-9.47,-1.68,2.83,3.37,0.97,
7.66,-9.70,-1.61,3.00,3.47,1.00,
7.48,-9.84,-1.71,3.19,3.51,1.09,
6.84,-9.82,-1.27,3.34,3.44,1.21,
6.78,-9.42,-0.79,3.45,3.26,1.38,
6.79,-9.41,-0.46,3.49,3.01,1.64,
6.63,-9.30,0.37,3.46,2.71,1.96,
6.18,-8.91,1.22,3.39,2.34,2.32,
6.07,-8.43,1.94,3.26,1.93,2.71,
5.74,-8.19,2.59,3.08,1.49,3.09,
5.59,-7.74,2.98,2.83,1.04,3.43,
5.43,-7.60,3.36,2.49,0.64,3.66,
5.05,-7.64,3.68,2.11,0.35,3.73,
4.92,-7.92,3.71,1.77,0.17,3.63,
